Dates,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30
Banks,1175903.87,1196371.9,1237605.75,1248456.05,1252213.96,1284942.46,1305248.41,1320643.87,1327046.72,1348817.58,1381685.16,1394362.27,1387085.41,1379275.92,1397019.38,1419362.59,1417056.87,1403558.88,1411672.87,1415903.61,1357104.48,1383932.13,1416024.16,1408197.97,1416447.41,1422243.28,1406831.44,1389081.33,1363790.94,1352081.0,1382212.2,1384550.19,1408604.72,1412935.4,1438506.53,1439015.52,1457191.7,1494660.17,1499229.01,1665707.57,1612807.78,1646243.27,1612151.74,1613882.87,1628141.09,1660349.29,1670590.04,1818642.06,1813894.8,1803533.9,1834572.29,1840572.53,1819832.21,1885664.82,1872603.92,1932818.38,1903596.57,1891502.14,1868215.9,1932277.52,1965261.71,2011583.31,2178497.61,2203584.67,2280282.34,2323660.6,2231301.8,2246992.51,2231678.14,2272104.35,2179567.73,2201863.39,2223039.1,2393346.0,2776614.2,2254199.5,2275684.1,2131520.2,2140086.2,2376235.9,2324282.8,2330124.9,2341430.6,2400578.3,2405883.9,2442006.6,2693887.0,2779952.0,2815143.6,2798626.5,2405883.9,2963698.0,3089410.0,3118542.0,3133189.0,3229558.0,3297234.0,3387292.0,3729905.0,3797351.0,3834450.0,3883495.0,3902678.0,3990761.0,4129829.0,4139303.0,4171779.0,4045780.1,4194369.0,4361160.9,4409097.5,4382572.9,4462191.7,4552248.9,4537782.9,4574014.8,4530092.7,4616499.5,4635074.3,4624196.5,4731845.9,5007376.3,4819400.3,4813375.8
Securities Brokers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.54,0.0,50.28,546.23,955.63,1462.56,1579.36,1366.54,568.48,422.84,253.5,80.5,80.49,65.49,70.86,57.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Corporations,46986.93,39095.86,34503.32,34330.98,35684.73,31929.96,27011.62,22987.17,22881.12,22289.13,23251.59,21719.14,27423.07,28017.33,31529.57,34002.07,35372.09,37120.38,38854.45,40614.93,41679.39,44060.79,44625.56,40756.34,43641.46,48858.5,55648.03,58181.4,57099.82,57099.82,47181.59,45462.05,43685.84,47030.65,47300.26,43077.81,45045.69,68289.71,63412.43,12927.17,52984.66,51840.06,53730.93,69778.65,70776.44,71581.09,55025.76,62946.92,59757.56,65060.7,61874.52,66001.17,61914.68,61571.24,64881.44,49001.86,45346.45,51786.63,56367.04,53977.95,85562.56,51233.69,85886.47,107697.8,104627.84,103414.92,105345.69,112011.64,85970.43,88365.12,79367.75,78324.91,76381.3,93586.0,78779.8,76016.3,77777.9,79712.1,79698.8,72840.0,67801.9,66109.8,62194.3,66786.8,57685.8,57696.6,59550.0,57927.0,56392.0,50767.3,57685.8,52630.0,52752.0,52079.0,49949.0,53734.0,51550.0,51322.0,51954.0,52094.0,52150.0,51735.0,51773.0,49393.0,51281.0,54174.0,52873.0,46906.1,45430.7,43516.9,43377.6,41481.5,40930.1,41614.8,41397.8,38221.8,38416.7,38453.2,38588.0,38659.9,38764.6,39126.4,33153.6,33286.6
Custodians,399331.32,386385.37,364216.97,367917.63,375137.09,363997.01,375790.93,371719.78,360318.19,340421.03,345094.81,365830.63,346050.81,342648.44,335153.68,337028.77,321806.53,319167.34,315927.71,311798.48,313200.35,327685.53,324308.95,325820.44,311976.73,310422.64,330091.77,280926.1,319953.06,319953.06,339958.72,348917.59,332396.91,337947.31,325169.88,319842.27,313946.15,286123.14,286633.04,299096.9,278494.08,273552.28,283976.85,275864.59,285249.5,277665.8,283545.93,305283.85,303670.05,298441.98,291666.71,302806.96,289696.93,304139.79,311306.68,435448.74,509007.07,533802.05,579092.13,621475.05,643797.08,641751.13,646471.15,632430.71,583657.81,600314.09,587539.07,585086.49,596458.73,612452.53,592243.89,580737.64,542212.7,592609.0,573500.9,545941.7,516163.4,503935.5,495098.6,526552.4,525289.3,574384.1,639764.5,646089.7,679655.3,685585.7,678996.0,644345.0,666907.6,700276.0,679655.3,680469.0,688628.0,709207.0,691294.0,714139.0,667216.0,614633.0,615295.0,581720.0,562949.0,583198.0,613148.0,607069.0,647290.0,645468.0,658305.0,659253.0,661412.6,622332.9,620336.6,609267.5,614900.5,648844.9,692587.3,649853.5,628453.8,642893.6,701045.1,694562.1,686297.3,725709.2,763808.9,777029.8
o.w. Non-Residents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219370.32,224129.3,224129.3,194206.94,228064.28,228064.28,239563.45,245981.8,237473.4,245936.78,224471.85,220796.61,215941.09,189477.1,179589.42,181886.1,174049.48,156651.66,173335.98,117002.13,183182.7,172645.9,169608.65,184231.9,181421.09,184350.17,180097.5,193652.1,184428.55,197263.77,206945.77,204980.01,202891.73,222606.4,242945.93,358793.47,359752.37,361048.53,328802.39,311063.39,267141.19,266267.17,270149.0,260550.47,259370.17,270182.28,261941.0,250323.12,213155.5,232734.0,215256.7,195508.3,130166.1,,101307.8,96853.8,99128.7,145121.0,189343.9,191115.0,181071.1,170607.0,168511.0,137956.0,161273.7,185514.3,181071.1,134365.0,122381.0,136691.0,139673.0,157365.0,141431.0,111975.0,109764.0,92522.0,94129.0,107168.0,142582.0,151378.0,175036.0,182264.0,207000.0,214317.8,219652.6,191583.8,183485.4,164808.2,156802.2,181223.3,219470.4,185064.6,158661.5,164951.9,216195.6,205967.4,194119.3,214184.0,252521.9,265973.2
Depository (Nominee),11836.56,12126.05,11803.37,11803.47,12294.43,12095.77,12345.77,12095.77,12095.77,12195.77,11764.27,11725.77,25241.59,24671.56,24294.82,24393.28,24095.13,23627.76,2313.13,21547.78,19598.15,18583.49,17854.84,17036.41,16767.35,16625.49,16244.53,15819.83,15410.19,15410.19,15156.26,14963.03,19638.18,20154.73,20323.47,20647.47,20496.47,16472.91,15281.89,15596.31,15633.81,15612.88,15472.94,15516.73,15091.17,15140.13,11400.18,8988.7,10251.64,11294.43,11743.63,10080.51,10602.8,10908.57,11289.53,10749.45,11261.76,11596.12,9927.69,10099.99,11414.21,11485.85,12472.79,11586.28,10507.18,10887.47,12039.94,9156.32,8358.94,8191.92,8727.8,9218.75,9775.8,10326.0,8477.7,4213.7,2553.8,2146.5,2140.5,2084.5,2074.4,2020.2,2081.7,4353.2,2268.3,2332.8,10702.0,11887.0,7845.7,9527.5,2268.3,11004.0,15122.0,16683.0,16720.0,21545.0,21433.0,20842.0,25443.0,25416.0,22427.0,23185.0,23883.0,24613.0,28244.0,28561.0,26032.0,27859.4,22349.7,24759.7,26077.8,27098.9,27405.5,28154.5,29622.1,30584.9,30686.8,31259.2,31623.2,34118.0,30125.3,33033.9,34224.7,35721.0
GOCCs,161625.49,170490.38,172612.66,173308.02,27424.04,27596.59,27657.49,27803.68,27826.12,27904.6,27868.72,27095.16,27581.77,27879.9,27897.1,27889.59,25905.47,26656.96,27159.46,27004.68,26545.56,26504.98,24740.84,24557.2,23197.42,23088.67,23182.95,22783.51,23285.29,23285.29,23509.6,23900.23,22632.37,18621.24,18972.34,19841.01,20181.1,20708.54,19972.35,20278.98,21511.38,22614.93,22015.48,22182.04,22750.39,22586.01,22710.47,23038.17,23034.81,24169.2,23590.93,23678.38,24178.82,25066.69,24778.2,22986.68,22351.0,21307.73,7411.15,20614.06,17969.32,17085.0,17000.5,30693.63,30300.2,24512.22,31797.71,25022.62,25242.48,24692.44,26532.4,25046.67,24934.5,25035.0,25900.5,24510.5,24378.5,24375.8,24106.0,2214.5,10513.2,10520.1,10520.8,11236.9,11225.1,11223.7,11292.0,10632.0,10631.9,9892.1,11225.1,9892.0,9885.0,9734.0,9584.0,9673.0,9589.0,9577.0,9727.0,9727.0,9726.0,9726.0,9862.0,9760.0,9463.0,9463.0,9463.0,8842.9,8835.6,8635.4,8635.7,8415.6,8416.1,8416.0,8416.0,2391.2,2390.9,2390.6,2390.5,2389.5,2388.6,2238.6,2238.5,2191.9
Insurance Companies,280058.48,280646.72,279907.11,280577.7,282913.33,286120.5,284962.8,286889.14,288046.26,288682.55,289108.05,291935.63,294815.39,295429.6,297339.54,296693.61,298234.4,299584.48,300944.57,303268.46,313745.16,316654.97,316317.17,317413.31,316358.28,314973.82,317020.06,317801.41,323070.88,323070.88,335673.34,339092.96,340149.07,338714.47,336827.75,346395.66,346639.17,346544.13,346161.56,339888.58,347739.4,352824.44,353357.25,353389.84,355423.83,355515.25,352984.38,361855.37,359746.35,360387.91,361938.07,361573.16,359865.48,364029.61,364539.95,272225.27,193674.5,195835.25,194107.44,199427.2,175543.04,174250.58,146731.98,143431.12,141935.1,123122.22,140713.98,132496.6,131789.89,131528.23,129780.16,127871.69,128855.5,130716.0,130016.2,126486.3,126479.9,126229.7,126280.0,123254.4,123435.1,123520.4,123511.5,124261.0,123560.7,123752.8,124283.0,120579.0,117668.1,111078.2,123560.7,112659.0,112813.0,111670.0,110499.0,111323.0,109127.0,109293.0,109794.0,109123.0,109701.0,109717.0,109684.0,109526.0,109697.0,110785.0,111732.0,111103.4,112679.4,109448.4,109112.2,107023.0,107759.5,105800.3,106583.9,103365.3,103180.6,102307.7,102459.0,102788.8,102738.2,99588.4,92215.9,92030.7
Investment Houses,13238.7,14911.96,16756.29,15172.97,16676.88,19306.64,20636.5,24525.06,24232.08,21382.13,14752.76,11491.32,18849.31,19259.99,19977.12,20872.41,21212.12,21081.4,22172.63,29364.24,33838.14,27404.08,22967.25,21335.97,18168.95,19549.66,17966.15,10074.61,12307.51,12307.51,29243.84,31437.67,35738.75,34327.42,36688.0,35127.44,32437.16,37915.46,45818.06,44292.7,38865.31,38097.08,35128.02,35617.71,35468.27,33521.19,35373.1,33041.1,35250.17,32608.54,27078.45,24204.7,19410.6,24004.48,21419.42,25271.09,17477.81,13338.93,14774.55,13927.72,17163.54,17230.09,22128.88,10890.45,14894.01,550.0,16919.34,10078.13,8234.85,8675.71,4695.68,5524.2,3755.6,6906.0,3594.4,3812.6,4277.4,3036.1,2777.0,6900.5,4987.1,4314.8,4970.0,2484.2,3426.3,5076.4,4183.0,3580.0,4529.9,4976.1,3426.3,6571.0,5336.0,4553.0,5214.0,2408.0,4068.0,6811.0,6792.0,4557.0,6099.0,6459.0,5678.0,4649.0,6331.0,6377.0,5833.0,5130.4,5502.0,5978.6,6433.6,6495.9,6599.9,6995.5,7668.2,6547.0,6813.9,7111.5,6671.1,6099.2,5880.0,6596.0,6427.3,7421.8
Local Government Units,107.98,106.77,96.27,95.2,93.46,91.58,89.93,87.88,86.22,83.88,81.54,81.0,80.55,79.35,69.15,68.34,67.47,65.8,64.43,62.03,61.03,59.05,57.08,54.15,54.17,53.18,42.96,43.04,42.6,42.6,39.92,38.22,37.44,35.76,34.15,32.14,31.88,31.3,21.4,21.06,20.86,20.33,19.59,18.64,17.96,16.68,15.6,14.49,14.28,13.99,13.78,13.77,13.76,13.78,15.11,14.74,15.42,15.28,4.17,14.11,14.09,14.09,14.06,14.06,14.05,14.03,14.11,13.79,13.76,13.75,13.91,13.88,13.9,14.0,13.8,13.8,13.8,13.7,13.7,13.4,13.2,13.2,13.1,13.1,13.1,13.1,3.0,3.0,3.0,2.9,13.1,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6,1.5,1.5,1.4,2.1,3.2,3.2,3.1,2.7,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3
Tax-Exempt Institutions,601427.27,613498.57,616410.03,641309.5,789858.8,791050.88,792862.21,800303.23,797221.36,799733.78,803249.31,803245.58,803228.73,795878.94,794893.13,794789.13,803270.68,810694.18,821851.99,822805.39,832529.82,842599.55,845052.59,847193.14,802962.52,815426.44,825860.84,840487.08,846726.49,846726.49,869687.84,888571.54,884990.65,891999.82,899150.96,899929.48,912282.83,924582.77,921696.24,944494.91,947666.65,958799.96,966693.03,963915.11,968416.33,973739.41,974051.52,997538.6,992193.3,998501.83,1011586.65,1024267.9,1012516.62,1040056.26,1054791.67,1012373.91,1056140.5,1032225.12,1080073.73,1078901.7,1067914.26,1061694.32,1086823.02,1089253.05,1098615.91,1107607.55,1107665.7,1136482.1,1125751.64,889317.4,876096.48,1106525.09,1130067.2,1149900.0,1136197.0,1741199.3,1862813.2,2173269.8,2255249.7,2437467.3,2241162.1,2264053.7,2296209.8,2341403.7,2369613.2,2394170.9,2446120.0,2448507.0,2481091.5,2505452.1,2369613.2,2618594.0,2639098.0,2681596.0,2681730.0,2713940.0,2686259.0,2690743.0,2757789.0,2792568.0,2808819.0,2825738.0,2834475.0,2862763.0,2949019.0,2981046.0,3007929.0,2969453.7,2993413.2,2939645.3,2939134.4,2933126.9,2954171.9,2976448.6,3001303.1,3024497.9,3033219.0,3057286.2,3079011.3,3091023.8,3128825.9,3190894.9,3134069.7,3145504.7
o.w. Custodians-Managed Accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.39,910.39,909.59,909.59,909.59,909.59,964.49,968.49,866.59,866.59,866.59,866.59,866.59,788.12,738.12,738.12,738.12,599.85,601.01,550.71,475.47,475.57,475.57,456.43,456.43,458.46,456.43,456.43,456.43,459.45,456.43,3888.95,3968.53,7011.28,7737.15,7355.2,7972.02,14021.59,21140.61,21043.31,20915.47,20965.62,20756.44,38060.09,38235.86,36050.8,35135.68,34906.83,38540.0,41492.0,38556.2,35232.8,31434.2,,25869.2,26067.0,25531.4,25548.1,25256.6,25280.2,22202.1,22148.4,22916.0,23469.0,24113.5,23726.9,22202.1,23950.0,24227.0,24169.0,23249.0,25268.0,27344.0,26767.0,27743.0,27831.0,27333.0,27878.0,28199.0,26463.0,27956.0,28436.0,34780.0,34432.8,33220.3,32924.5,22734.5,24768.4,24104.7,24839.1,24938.1,25498.5,25209.1,25972.9,27316.4,28219.8,29810.9,25370.8,24929.5,25213.9
o.w. Non-Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11046.9,10156.1,9589.6,9632.6,9464.6,9475.6,7403.1,7590.1,7732.0,7737.0,7736.8,7851.8,7403.1,8137.0,7939.0,7718.0,7853.0,8647.0,8701.0,8561.0,8915.0,8951.0,9062.0,9100.0,9120.0,9010.0,9050.0,9010.0,9010.0,9010.0,9035.0,8720.0,8623.7,8643.7,8683.7,8683.7,8794.8,8931.8,8696.7,8396.7,8396.7,8396.7,19791.4,15215.1,14801.7,14934.8
Others,929325.95,930054.11,927811.23,912692.16,912975.4,914065.46,909826.93,910192.04,898992.94,893937.72,891870.29,892518.18,897083.86,913829.68,925925.13,895092.96,870829.16,893608.77,895657.68,881584.99,942681.23,908667.33,882591.31,880993.56,873682.9,878223.43,847696.79,833444.57,834886.72,834886.72,813395.63,806168.5,815980.61,815455.47,815686.33,809590.3,804307.81,789164.35,768562.53,816806.27,820619.14,825800.41,802843.21,800565.13,806192.69,804989.59,801550.71,828961.4,832024.02,835903.06,840762.39,844707.11,825358.11,862679.48,873960.08,811087.12,827954.85,867865.31,897064.13,845195.52,924248.51,910907.31,999848.05,974841.95,990598.8,999798.56,1016361.6,1014006.79,1043314.56,1268484.54,1217643.95,991525.98,983781.6,1046466.0,778824.2,786175.1,842946.3,844852.0,830090.4,864509.2,1137871.0,1161355.1,1170277.8,1096532.1,1131256.2,1100261.9,1174644.0,1194023.0,1215385.9,1207702.2,1131256.2,1224631.0,1234551.0,1224185.0,1203164.0,1243936.0,1221153.0,1222533.0,1261794.0,1263140.0,1258972.0,1273699.0,1280841.0,1284697.0,1369348.0,1379903.0,1383862.0,1333900.2,1340790.8,1326526.3,1350796.9,1342199.7,1385979.4,1364146.3,1386846.1,1361490.9,1360942.4,1403976.6,1427388.5,1423934.2,1435158.1,1471974.0,1391791.6,1401774.6
