Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2014-01-06,11.625,0.6930000000000001,0.0,,33.261802575107296,1.079,1.27375,0.5521666666666667,0.466
2014-02-03,0.0,1.458,100.0,,100.0,,3.9715,0.65,0.41
2014-03-03,0.0,1.0,0.0,1.4000000000000001,56.00000000000001,1.865,5.3275,2.756666666666667,1.21
2014-04-07,0.0,1.44,0.0,1.696,0.0,1.9720000000000002,1.49,1.4416666666666667,1.3966666666666667
2014-05-05,0.0,1.346,100.0,,100.0,,2.550875,1.6933333333333334,2.0008333333333335
2014-06-02,0.0,1.035,0.0,1.481,0.0,1.754,3.66075,2.7016666666666667,2.8183333333333334
2014-07-07,0.0,1.157,0.0,1.513,0.0,1.718,2.865,2.5,3.195333333333333
2014-08-04,0.0,1.373,100.0,,39.0,1.8689999999999998,2.799,1.8833333333333333,2.013333333333333
2014-09-01,0.0,1.244,0.0,1.6500000000000001,0.0,1.864,3.19275,2.6,3.7808333333333333
2014-10-07,0.0,1.1440000000000001,0.0,1.6760000000000002,0.0,1.87,2.970125,2.752,3.2765
2014-11-03,0.0,1.298,0.0,1.654,0.0,1.7680000000000002,2.1905,2.868333333333333,3.9491666666666667
2014-12-01,0.0,1.4160000000000001,0.0,1.771,0.0,1.836,1.364375,2.1108333333333333,2.066666666666667
2015-01-05,100.0,,100.0,,100.0,,0.75,1.4916666666666667,1.2
2015-02-02,0.0,1.541,0.0,1.7579999999999998,0.0,1.947,3.237125,2.2683333333333335,1.4325
2015-03-02,0.0,1.397,0.0,1.699,0.0,1.9480000000000002,3.536125,3.308333333333333,2.125
2015-04-06,0.0,1.6549999999999998,37.5,1.918,54.833333333333336,2.0,2.450875,1.8083333333333333,1.4183333333333332
2015-05-04,25.0,2.049,16.666666666666664,2.252,45.50408719346049,2.431,1.090625,1.4583333333333333,0.6116666666666667
2015-06-01,0.0,2.1420000000000003,0.0,2.35,70.03560126582279,2.512,2.29,1.8221666666666667,0.8426666666666667
2015-07-06,0.0,2.078,0.0,2.333,50.916666666666664,2.552,3.368125,2.75,1.0741666666666667
2015-08-03,0.0,1.999,0.0,2.183,0.0,2.306,3.633375,2.671666666666667,2.2583333333333333
2015-09-07,0.0,1.505,0.0,1.526,0.0,1.921,2.17625,4.318833333333333,1.5771666666666666
2015-10-05,44.875,1.4909999999999999,0.0,1.5070000000000001,0.0,1.8780000000000001,1.551875,2.165,1.9545
2015-11-02,14.0875,1.773,17.516666666666666,1.806,,,1.192875,1.6665,1.5576666666666668
2015-12-07,46.9375,1.836,31.333333333333336,1.8429999999999997,65.0,1.952,1.281875,1.3866666666666667,1.0166666666666666
2016-01-18,0.0,1.6840000000000002,0.0,1.6420000000000001,0.0,1.7399999999999998,2.03275,2.7925,1.7675
2016-02-22,0.0,1.513,0.0,1.508,0.0,1.678,3.24625,2.725,1.61
2016-03-14,0.0,1.469,0.0,1.5890000000000002,0.0,1.7500000000000002,2.90375,1.39,1.3583333333333334
2016-04-04,0.0,1.551,56.481481481481474,1.7579999999999998,0.0,1.779,1.78875,0.9,1.3366666666666667
2016-05-02,27.474999999999998,1.6740000000000002,0.0,1.6500000000000001,0.0,1.8659999999999999,1.19025,2.16,1.7816666666666667
2016-06-06,0.0,1.5879999999999999,0.0,1.617,0.0,1.925,2.19825,2.029333333333333,1.3816666666666666
2016-07-18,0.0,1.447,0.0,1.442,0.0,1.63,1.9825,3.0566666666666666,2.1483333333333334
2016-08-10,0.0,1.4789999999999999,0.0,1.474,0.0,1.7239999999999998,2.230375,2.84,1.8808333333333334
2016-09-26,0.0,1.321,0.0,1.439,0.0,1.683,2.641,2.65,2.5751666666666666
2016-10-17,0.0,1.281,0.0,1.505,34.833333333333336,1.8800000000000001,2.03875,1.6333333333333333,1.1183333333333334
2016-11-14,0.0,1.484,26.666666666666668,1.809,100.0,,2.04,1.1333333333333333,0.7433333333333333
2016-12-05,0.0,1.555,41.39517056343426,1.876,100.0,,1.40125,0.8696666666666667,0.5916666666666667
2017-01-16,14.942528735632186,1.7999999999999998,9.656652360515022,2.037,60.40268456375839,2.276,0.725,0.932,0.745
2017-01-31,0.0,1.9980000000000002,21.3,2.252,61.13164628945123,2.571,1.4766666666666666,1.137,0.87925
2017-02-13,28.416666666666668,2.252,28.599999999999998,2.467,-158.27586206896552,2.766,1.4425,1.004,0.3625
2017-02-27,0.0,2.36,51.4,2.587,0.0,2.763,1.4283333333333332,1.026,2.35125
2017-03-13,0.0,2.374,0.0,2.606,0.0,2.799,2.9071666666666665,2.247,1.66625
2017-04-10,0.0,2.394,0.0,2.608,21.25,2.945,3.0883333333333334,2.084,1.325
2017-04-24,0.0,2.299,0.0,2.638,0.0,2.989,3.5258333333333334,1.8064,1.60375
2017-05-08,0.0,2.205,0.0,2.6020000000000003,0.0,2.9659999999999997,2.918833333333333,1.5002,2.37375
2017-05-22,0.0,2.1479999999999997,0.0,2.494,0.0,2.835,3.991,2.789,4.30625
2017-06-05,0.0,2.103,0.0,2.456,0.0,2.85,4.18,2.9354,3.01725
2017-06-19,0.0,2.084,0.0,2.421,0.0,2.875,3.613166666666667,3.7804,3.094
2017-07-03,0.0,2.1260000000000003,17.380000000000003,2.496,40.75,2.926,2.0008333333333335,1.1262,1.7255
2017-07-17,31.216666666666665,2.189,100.0,,9.75,2.995,1.527,0.71,1.4825
2017-07-31,0.0,2.176,0.0,2.529,0.0,2.972,2.6335,1.588,2.0445
2017-08-14,0.0,2.161,0.0,2.577,0.0,2.946,2.699333333333333,1.2358,2.47925
2017-08-29,0.0,2.1430000000000002,0.0,2.5919999999999996,0.0,2.935,3.4778333333333333,2.322,2.80725
2017-09-11,0.0,2.088,0.0,2.564,0.0,2.92,4.904833333333333,2.207,2.9475
2017-09-25,0.0,2.032,0.0,2.522,0.0,2.861,5.429333333333333,4.0832,3.8275
2017-10-09,0.0,1.958,0.0,2.4570000000000003,0.0,2.82,4.635,3.5458,3.21625
2017-10-23,0.0,1.957,0.0,2.4570000000000003,0.0,2.8529999999999998,4.244166666666667,2.8054,3.15725
2017-11-16,0.0,2.1479999999999997,0.0,2.563,25.033333333333335,2.952,1.615625,1.8113333333333332,1.0246666666666666
2017-11-27,100.0,,100.0,,100.0,,0.499375,0.5776666666666667,0.5035
2017-12-11,100.0,,100.0,,100.0,,0.371875,0.3875,0.37933333333333336
2018-01-15,0.0,2.233,0.0,2.519,0.0,2.849,2.5372222222222223,2.3216666666666668,2.67
2018-01-29,0.0,2.321,23.083333333333332,2.577,42.94,2.9250000000000003,2.08,1.1608333333333334,1.1706
2018-02-12,17.844444444444445,2.67,13.516666666666666,2.854,58.91472868217055,3.04,1.447111111111111,1.0115,0.774
