Date,ISIN,Maturity Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Volume awarded,182-day Volume awarded,364-day Volume awarded,91-day Tenders per tenor,182-day Tenders per tenor,364-day Tenders per Tenor,91-day Total offers,182-day Total Offers,364-day Total offers,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2014-01-06, PIBL0613J042,2014-04-10,11.625,0.6930000000000001,0,,33.261802575107296,1.079,3535,0,3110,5095.0,3313.0,4660.0,4000.0,6000.0,10000.0,1.27375,0.5521666666666667,0.466
2014-02-03,PIBL1213E056,2014-05-07,0,1.458,100,,100,,4000,0,0,15886.0,3900.0,4100.0,4000.0,6000.0,10000.0,3.9715,0.65,0.41
2014-03-03,PIBL1213F062,2014-06-04,0,1.0,0,1.4000000000000001,56.00000000000001,1.865,4000,6000,4400,21310.0,16540.0,12100.0,4000.0,6000.0,10000.0,5.3275,2.756666666666667,1.21
2014-04-07,PIBL0614A012,2014-07-09,0,1.44,0,1.696,0,1.9720000000000002,8000,6000,6000,11920.0,8650.0,8380.0,8000.0,6000.0,6000.0,1.49,1.4416666666666667,1.3966666666666667
2014-05-05,PIBL1213H088,2014-08-06,0,1.346,100,,100,,8000,0,0,20407.0,10160.0,12005.0,8000.0,6000.0,6000.0,2.550875,1.6933333333333334,2.0008333333333335
2014-06-02,PIBL1213I096,2014-09-03,0,1.035,0,1.481,0,1.754,8000,6000,6000,29286.0,16210.0,16910.0,8000.0,6000.0,6000.0,3.66075,2.7016666666666667,2.8183333333333334
2014-07-07,PIBL1213J102,2014-10-08,0,1.157,0,1.513,0,1.718,8000,6000,6000,22920.0,15000.0,19172.0,8000.0,6000.0,6000.0,2.865,2.5,3.195333333333333
2014-08-04,PIBL1213K119,2014-11-05,0,1.373,100,,39.0,1.8689999999999998,8000,0,3660,22392.0,11300.0,12080.0,8000.0,6000.0,6000.0,2.799,1.8833333333333333,2.013333333333333
2014-09-01,PIBL0614F026,2014-12-03,0,1.244,0,1.6500000000000001,0,1.864,8000,6000,6000,25542.0,15600.0,22685.0,8000.0,6000.0,6000.0,3.19275,2.6,3.7808333333333333
2014-10-07,PIBL1214A010,2015-01-07,0,1.1440000000000001,0,1.6760000000000002,0,1.87,8000,6000,6000,23761.0,16512.0,19659.0,8000.0,6000.0,6000.0,2.970125,2.752,3.2765
2014-11-03,PIBL0314K018,2015-02-04,0,1.298,0,1.654,0,1.7680000000000002,8000,6000,6000,17524.0,17210.0,23695.0,8000.0,6000.0,6000.0,2.1905,2.868333333333333,3.9491666666666667
2014-12-01,PIBL1214C036,2015-03-04,0,1.4160000000000001,0,1.771,0,1.836,8000,6000,6000,10915.0,12665.0,12400.0,8000.0,6000.0,6000.0,1.364375,2.1108333333333333,2.066666666666667
2015-01-05,PIBL1214D044,2015-04-08,100,,100,,100,,0,0,0,6000.0,8950.0,7200.0,8000.0,6000.0,6000.0,0.75,1.4916666666666667,1.2
