"Auction Date","Tenor (in years)","Bid-to-Cover","WAIR","Rejection Rates"
2014-01-21,3,1.32888,"2.3990000000000001E-2",0.6152
2014-02-18,5,1.598,"3.5200000000000002E-2",0
2014-03-18,7,2.76816,"3.4259999999999999E-2",0
2014-04-22,3,2.4514,"2.7269999999999999E-2",0
2014-05-20,3,3.06756,"2.751E-2",0
2014-06-17,7,1.9578,"3.5110000000000002E-2",0.2462
2014-07-22,7,1.95928,"3.7420000000000002E-2",0
2014-09-16,20,0.6928,"5.0950000000000002E-2",0.0790993071593533
2014-10-21,3,2.1412,"2.5100000000000001E-2",0
2014-11-18,7,2.65844,"3.2669999999999998E-2",0
2014-12-09,7,2.44212,"3.5009999999999999E-2",0
2015-01-20,20,2.93828,"3.8550000000000001E-2",0
2015-02-17,10,1.64904,"0",1
2015-03-17,7,1.41208,"3.458E-2",0
2015-04-21,10,1.98352,"0",1
2015-05-19,7,1.79628,"3.2840000000000001E-2",0.1046
2015-06-16,5,1.6264,"3.0609999999999998E-2",0
2015-07-21,5,2.51588,"3.0890000000000001E-2",0
2015-08-18,5,2.06412,"3.3520000000000001E-2",0
2015-09-22,10,0.53484,"0",1
2015-10-20,5,1.4468,"3.1690000000000003E-2",0.3512
2015-11-10,5,0.86068,"3.7999999999999999E-2",0.547706464655853
2016-01-12,10,1.1232,"4.2180000000000002E-2",0.1128
2016-02-16,5,2.24008,"3.6470000000000002E-2",0
2016-03-29,7,3.07368,"3.2500000000000001E-2",0
2016-04-19,7,2.19772,"3.4610000000000002E-2",0
2016-05-17,7,2.90252,"3.2460000000000003E-2",0
2016-06-28,5,3.36372,"2.6980000000000001E-2",0
2016-07-26,7,1.78912,"3.0159999999999999E-2",0
2016-08-16,7,2.21764,"3.1859999999999999E-2",0
2016-10-11,7,0.88328,"3.6049999999999999E-2",0.466896114482384
2016-11-22,5,1.04512,"3.977E-2",0
2016-12-06,5,1.6766,"0",1
2017-01-10,3,2.48253333333333,"3.3640000000000003E-2",0
2017-01-24,5,2.37353333333333,"3.8760000000000003E-2",0
